Current infected count,Newly infected count,Newly Susceptible,Total Immune
1,0,0,1424
54,54,1,1424
2190,2160,24,1424
11705,10616,1101,1424
6973,1106,5838,1424
9359,5838,3452,1424
8213,3452,4598,1424
8725,4598,4086,1424
8428,4086,4383,1424
8518,4383,4293,1424
8511,4293,4300,1424
8596,4300,4215,1424
8579,4215,4232,1424
8534,4232,4277,1424
8573,4277,4238,1424
8511,4238,4300,1424
8652,4300,4159,1424
8482,4159,4329,1424
8489,4329,4322,1424
8673,4322,4138,1424
8417,4138,4394,1424
8656,4394,4155,1424
8425,4155,4386,1424
8554,4386,4257,1424
8580,4257,4231,1424
8527,4231,4284,1424
8622,4284,4189,1424
8466,4189,4345,1424
8580,4345,4231,1424
8548,4231,4263,1424
8586,4263,4225,1424
8543,4225,4268,1424
8646,4268,4165,1424
8482,4165,4329,1424
8602,4329,4209,1424
8518,4209,4293,1424
8556,4293,4255,1424
8535,4255,4276,1424
8580,4276,4231,1424
8588,4231,4223,1424
8490,4223,4321,1424
8612,4321,4199,1424
8506,4199,4305,1424
8514,4305,4297,1424
8592,4297,4219,1424
8470,4219,4341,1424
8588,4341,4223,1424
8536,4223,4275,1424
8500,4275,4311,1424
8538,4311,4273,1424
8621,4273,4190,1424
8359,4190,4452,1424
8544,4452,4267,1424
8536,4267,4275,1424
8563,4275,4248,1424
8520,4248,4291,1424
8443,4291,4368,1424
8610,4368,4201,1424
8558,4201,4253,1424
8585,4253,4226,1424
8539,4226,4272,1424
8602,4272,4209,1424
8509,4209,4302,1424
8524,4302,4287,1424
8495,4287,4316,1424
8591,4316,4220,1424
8466,4220,4345,1424
8599,4345,4212,1424
8450,4212,4361,1424
8599,4361,4212,1424
8495,4212,4316,1424
8573,4316,4238,1424
8526,4238,4285,1424
8592,4285,4219,1424
8564,4219,4247,1424
8508,4247,4303,1424
8532,4303,4279,1424
8518,4279,4293,1424
8599,4293,4212,1424
8628,4212,4183,1424
8509,4183,4302,1424
8524,4302,4287,1424
8548,4287,4263,1424
8458,4263,4353,1424
8566,4353,4245,1424
8567,4245,4244,1424
8561,4244,4250,1424
8532,4250,4279,1424
8520,4279,4291,1424
8530,4291,4281,1424
8514,4281,4297,1424
8501,4297,4310,1424
8679,4310,4132,1424
8433,4132,4378,1424
8615,4378,4196,1424
8524,4196,4287,1424
8503,4287,4308,1424
8616,4308,4195,1424
8400,4195,4411,1424
8674,4411,4137,1424
8511,4137,4300,1424
8545,4300,4266,1424
8540,4266,4271,1424
8558,4271,4253,1424
8470,4253,4341,1424
8562,4341,4249,1424
8505,4249,4306,1424
8571,4306,4240,1424
8547,4240,4264,1424
8566,4264,4245,1424
8466,4245,4345,1424
8620,4345,4191,1424
8516,4191,4295,1424
8601,4295,4210,1424
8442,4210,4369,1424
8570,4369,4241,1424
8488,4241,4323,1424
8571,4323,4240,1424
8526,4240,4285,1424
8538,4285,4273,1424
8504,4273,4307,1424
8543,4307,4268,1424
8478,4268,4333,1424
8579,4333,4232,1424
8586,4232,4225,1424
8554,4225,4257,1424
8529,4257,4282,1424
8556,4282,4255,1424
8491,4255,4320,1424
8615,4320,4196,1424
8399,4196,4412,1424
8593,4412,4218,1424
8450,4218,4361,1424
8648,4361,4163,1424
8517,4163,4294,1424
8562,4294,4249,1424
8503,4249,4308,1424
8570,4308,4241,1424
8485,4241,4326,1424
8513,4326,4298,1424
8578,4298,4233,1424
8478,4233,4333,1424
8503,4333,4308,1424
8636,4308,4175,1424
8477,4175,4334,1424
8568,4334,4243,1424
8570,4243,4241,1424
8554,4241,4257,1424
8510,4257,4301,1424
8634,4301,4177,1424
8434,4177,4377,1424
8626,4377,4185,1424
8540,4185,4271,1424
8533,4271,4278,1424
8554,4278,4257,1424
8487,4257,4324,1424
8550,4324,4261,1424
8504,4261,4307,1424
8551,4307,4260,1424
8490,4260,4321,1424
8524,4321,4287,1424
8525,4287,4286,1424
8499,4286,4312,1424
8517,4312,4294,1424
8533,4294,4278,1424
8498,4278,4313,1424
8647,4313,4164,1424
8384,4164,4427,1424
8689,4427,4122,1424
8471,4122,4340,1424
8491,4340,4320,1424
8536,4320,4275,1424
8578,4275,4233,1424
8565,4233,4246,1424
8550,4246,4261,1424
8536,4261,4275,1424
8483,4275,4328,1424
8630,4328,4181,1424
8511,4181,4300,1424
8553,4300,4258,1424
8586,4258,4225,1424
